#{"t_start": 1555726407.592253, "env_id": "Catcher3d-v1"}
r,l,t,scoring_reward
25.7464,250,9.6515,0.0
16.9796,250,17.764,0.0
17.6974,250,25.9402,0.0
22.6207,250,34.0577,0.0
22.956,250,42.2176,1.0
25.2344,250,50.3749,0.0
17.1229,250,58.5637,0.0
18.511,250,66.7191,0.0
21.89,250,74.9085,0.0
22.7407,250,83.0813,0.0
19.1069,250,91.395,0.0
23.7644,250,99.5899,0.0
18.0028,250,107.7533,0.0
25.5367,250,115.9013,1.0
21.1776,250,124.0222,0.0
25.153,250,132.1803,0.0
24.8272,250,140.3689,0.0
22.833,250,148.5834,0.0
22.6165,250,156.8263,0.0
23.362,250,165.05,0.0
26.382,250,173.2972,0.0
19.3129,250,179.3202,0.0
24.5842,250,187.5354,1.0
18.9796,250,195.7133,0.0
17.0725,250,203.9141,0.0
20.8611,250,212.0952,0.0
21.838,250,220.2704,0.0
25.0346,250,228.4971,0.0
25.2265,250,236.6708,1.0
19.5209,250,244.9006,0.0
22.985,250,253.1322,0.0
18.5962,250,261.6043,0.0
23.0815,250,270.1276,0.0
21.5119,250,278.4621,0.0
24.5045,250,286.6863,0.0
21.595,250,294.8968,0.0
25.0667,250,303.717,0.0
22.3038,250,312.1152,0.0
18.7945,250,320.3473,0.0
25.3863,250,328.5601,1.0
19.7268,250,336.9504,0.0
22.0067,250,345.4168,0.0
24.2957,250,351.6401,0.0
22.6774,250,360.1194,0.0
19.9216,250,368.645,0.0
22.9445,250,377.1511,0.0
26.7711,250,385.6742,0.0
24.5687,250,394.1785,0.0
27.7488,250,402.663,0.0
21.1019,250,411.1182,0.0
21.5179,250,419.591,0.0
24.9825,250,428.0756,0.0
22.0517,250,436.5752,0.0
28.3371,250,445.0784,1.0
24.7502,250,453.5594,0.0
30.8703,250,462.0971,1.0
27.402,250,470.6035,0.0
28.7136,250,479.1469,1.0
29.1016,250,487.6754,1.0
28.2489,250,496.1784,1.0
28.2736,250,504.6628,1.0
24.824,250,513.315,0.0
25.0208,250,521.9785,0.0
29.0217,250,528.0165,0.0
28.3446,250,536.3066,1.0
25.0867,250,544.5684,1.0
27.039,250,553.4372,0.0
25.0477,250,563.0892,1.0
26.2387,250,572.8733,0.0
28.4628,250,582.3934,0.0
30.2285,250,591.9631,2.0
30.6758,250,601.5275,1.0
32.2888,250,611.0996,2.0
28.5572,250,620.7548,1.0
26.7598,250,630.4763,0.0
31.7002,250,640.0894,1.0
27.823,250,649.645,0.0
27.4659,250,660.2847,0.0
23.2691,250,671.5749,0.0
30.108,250,682.4903,2.0
27.0396,250,693.5549,0.0
25.0399,250,705.147,0.0
26.7028,250,717.1534,0.0
28.5932,250,729.2814,1.0
28.0572,250,740.0365,0.0
26.1574,250,748.4204,1.0
32.6818,250,759.0401,2.0
26.7106,250,769.6719,0.0
29.4641,250,780.4538,0.0
30.4335,250,791.4333,0.0
27.5285,250,802.3179,0.0
27.1524,250,813.1648,0.0
28.2448,250,823.9621,0.0
28.915,250,834.9398,0.0
28.5698,250,845.8045,1.0
26.7229,250,856.6177,1.0
30.233,250,867.4805,1.0
29.8124,250,878.6664,0.0
30.5096,250,889.5488,1.0
25.3221,250,900.4764,0.0
24.5015,250,911.5425,0.0
32.1438,250,922.6355,1.0
29.2443,250,933.6223,1.0
29.3355,250,944.7452,1.0
25.2836,250,955.4197,0.0
29.2308,250,966.4653,0.0
28.1774,250,974.9289,0.0
25.7156,250,985.7496,0.0
28.3945,250,996.7128,0.0
30.4413,250,1007.6151,1.0
26.6819,250,1018.719,0.0
28.1834,250,1031.0096,0.0
30.1129,250,1042.1355,1.0
30.777,250,1053.094,1.0
26.96,250,1063.9733,0.0
26.5749,250,1075.1787,0.0
31.5037,250,1086.1922,1.0
33.3701,250,1097.24,2.0
26.3474,250,1108.3836,0.0
25.6804,250,1119.468,0.0
28.9614,250,1130.3155,0.0
30.6252,250,1141.5732,1.0
25.924,250,1152.6719,0.0
26.9618,250,1163.591,0.0
26.3718,250,1174.8778,0.0
